title,type_job,salary,compagny,location,region,departement,latitude,longitude,language,skills,date,description,tokens,source
Data Engineer - F/H,CDI,,CS,Toulouse,France métropolitaine,Haute-Garonne,43.6044622,1.4442469,language,skills,2023-12-26T00:04:55Z,"Nous recrutons un.e Ingénieur Data Engineer pour rejoindre notre Business Unit INDUSTRIE au sein de la Business Line Data Intelligence. Elle accompagne nos clients dans leurs problématiques associées à la transformation digitale. Nos offres se déclinent autour de la data intelligence & de la maintenance prédictive.Votre mission :Dans le cadre de nos projets, vous rejoindrez notre équipe et participerez aux missions suivantes :- Concevoir,  développer, industrialiser et déployer des outils de traitements de données- Monitoring et analyse de flux de données- Accompagner nos clients sur les conceptions d'architecture des systèmes- Rédiger les rapports d’analyse de données, et assurer la présentation au clientEnvironnement technique :Méthodologie: Agile, Kanban, SAFeFramework: Hadoop, Hortonworks, SparkBase de données: Relationnelle & NoSQLLangages: Python, ScalaOutils : Git, connaissance en containerisation (Docker)",recrutons ingénieur data engineer rejoindre business unit industrie sein business line data intelligence accompagne client leurs problématiques associées transformation digitale offres déclinent autour data intelligence maintenance mission cadre projets rejoindrez équipe participerez mission suivantes concevoir développer industrialiser déployer outils traitements monitoring analyse flux accompagner client conception rédiger rapport analyse données assurer présentation clientenvironnement technique méthodologie agile kanban safeframework hadoop hortonworks sparkbase données relationnelle nosqllangages python scalaoutils git connaissance containerisation docker,welcome_to_the_jungle
Data Steward - F/H,CDI,,CS,Le Plessis-Robinson,France métropolitaine,Hauts-de-Seine,48.7811049,2.2619632,language,skills,2023-12-26T00:04:47Z,"Dans le cadre de son offre « Data Intelligence », CS GROUP accompagne ses clients sur l’ensemble des étapes de valorisation de leurs données, incluant les démarches de Data Gouvernance. Ces projets d’ampleur sont opérationnellement menés par des « Data Offices » accompagnant les experts métiers dans l’application de la stratégie Data de l’entreprise.Au sein d’un Data Office ou d’une équipe dédiée, le Data Steward :S’interface avec les Data Owners et les experts métiersDéfinit, centralise et maintient à jour le catalogue des données métier (granularité, définition, responsabilité, consommation, classification, sourcing, mise à disposition et implémentation)Applique les règles de gouvernance dictées par le Chief Data Officer pour assurer la mise en conformité des projets digitauxSupporte la définition et la mise en œuvre des plans d'amélioration de la qualité des données (indicateurs, plans de remédiation)Promeut l’intérêt d’une gouvernance globale et facilite l’adhésion collective des équipes métiers. ",cadre offre data intelligence c group accompagne client ensemble étapes valorisation leurs données incluant démarches data gouvernance projets ampleur opérationnellement menés data office accompagnant expert métiers application stratégie data sein data office équipe dédiée data steward interface data owner expert métiersdéfinit centralise maintient jour catalogue données métier granularité définition responsabilité consommation classification sourcing mise disposition implémentation applique règles gouvernance dictées chief data officer assurer mise conformité projets digitauxsupporte définition mise œuvre plan qualité données indicateurs plan remédiation promeut intérêt gouvernance globale facilite adhésion collective équipes métiers,welcome_to_the_jungle
 Expert Data Intégration,CDI,,Hardis Group,Grenoble,France métropolitaine,Isère,45.1875602,5.7357819,language,skills,2023-12-15T15:30:37Z,"Minutieux et analyste de talent, diagnosticien efficace et autonome, vous déterminez les besoins des clients afin de lui apporter des solutions data performantes. Vous voulez prendre part au développement d’une activité stratégique au sein d’une entreprise qui conjugue au quotidien innovation et ambition. Rejoignez Hardis Group !   Chez Business Application Grenoble nous continuons de renforcer nos équipes pour consolider notre expertise Data !Dans le cadre de la croissance de son activité Services, Hardis Group recrute un Expert Data Intégration (H/F) avec de bonnes connaissance Talend pour renforcer ses équipes grenobloises.  Vous développerez et mettrez en œuvre les solutions techniques de gestion des données et de l’intégration des flux du système d’information de nos clients, vous aurez en charge, les spécifications, la conception et l’implémentation de projets data. Vos missions seront de :   Analyser techniquement et fonctionnellement le besoin Participer à la rédaction de spécifications techniques et aux procédures de livraison   Concevoir des procédures de transformation de données (maping)  Migrer et/ ou développer des flux de données de type ETL / ELT / ESB  Développer des tests applicatifs, définir et réaliser les procédures de tests techniques, de tests d’intégration et de recette de ces développements Participer à la conception et mise en place de datawarehouse Encadrer des développeurs juniors Prendre en charge la maintenance évolutive et corrective en conditions opérationnelles   Mettre en place et faire respecter les normes de développement et d’architecture définies.   ",minutieux analyste talent diagnosticien efficace autonome déterminez besoins client afin apporter solution data performantes voulez prendre part développement activité stratégique sein entreprise conjugue quotidien innovation ambition rejoignez hardis group chez business application grenoble continuons renforcer équipes consolider expertise data cadre croissance activité service hardis group recrute expert data intégration bonnes connaissance talend renforcer équipes grenobloises développerez mettrez œuvre solution technique gestion données intégration flux système information client charge spécifications conception implémentation projets data mission analyser techniquement fonctionnellement besoin participer rédaction spécifications technique procédures livraison concevoir procédures transformation données maping migrer développer flux données type etl elt esb développer test applicatifs définir réaliser procédures test technique test intégration recette développements participer conception mise place datawarehouse encadrer développeurs junior prendre charge maintenance évolutive corrective condition opérationnelles mettre place faire respecter normes développement architecture définies,welcome_to_the_jungle
Data Analyst - CRM & Performance ,CDI,,Tilak Healthcare,Paris,France métropolitaine,,48.8534951,2.3483915,language,skills,2023-12-14T15:27:36Z,"En tant que Data analyst CRM & Performance, vous ferez partie de l’équipe Business Excellence. Vous serez en charge du suivi de l’activité et de la performance des équipes terrain ainsi que de la stratégie CRM et de l’analyse des données clients. Vous mettrez en place les outils nécessaires au suivi des performances et analyserez les données des utilisateurs afin d’identifier des opportunités d’action. Vous optimiserez l’utilisation des outils data (plateforme CRM, outils de datavisualisation…) et fournirez les données et analyses nécessaires à la bonne compréhension du marché. Les rapports que vous allez générer seront essentiels dans tous les domaines de l’entreprise :Pour les équipes terrains afin d’analyser leur travail et identifier les leviers d’optimisation de leur performance.Pour les équipes siège afin d’identifier les problématique et les leviers stratégiques à mettre en œuvre pour accélérer le déploiement de nos solutions.Pour les équipes de direction afin d’avoir une vision instantanée de la performance et d’être capable de modéliser les tendances.Vos missions :📚 Gestion du CRM:Identification et implémentation des KPIs de performance dans le CRM.Interfaçage du CRM avec les produits et services développés par Tilak Healthcare.Contrôle de la qualité de la base de données clientsAffichage des données issues du CRM avec un outil de datavisualisation à destination des équipes siège et terrain.Vous vous assurerez du maintien à jour de la base de données CRM et optimiserez l’outil CRM afin de permettre aux équipes Business d’en tirer le meilleur profit. Vous ferez évoluer les outils CRM au fur et à mesure des besoins et des mises à jours de nos produits.📚 Suivi de performances:Conception des modèles d’analyse de performance régionaux et nationaux.Réalisation d’analyses de performance d’activité terrain et identification d’opportunités d’actions.Présentation de reportings réguliers au reste de l’équipe Business.Mise en place d’outils permettant de suivre l’atteinte des objectifs financiers et de forecasting.Vous participerez à la définition des objectifs d’équipes et travaillerez en étroite collaboration avec les équipes terrain afin de les aider à optimiser leurs performances. Vous définirez et mettrez en place les outils nécessaires au bon suivi des performances et partagerez aux équipes Business les informations nécessaires au développement des stratégies commerciales.",tant data analyst crm performance ferez partie équipe business excellence charge suivi activité performance équipes terrain ainsi stratégie crm analyse données client mettrez place outils nécessaires suivi performance analyserez données utilisateurs afin identifier opportunités action optimiserez utilisation outils data plateforme crm outils fournirez données analysis nécessaires bonne compréhension marché rapport allez générer essentiels tous domaines entreprise équipes terrain afin analyser travail identifier leviers optimisation équipes siège afin identifier problématique leviers stratégiques mettre œuvre accélérer déploiement équipes direction afin avoir vision instantanée performance être capable modéliser mission gestion crm identification implémentation kpis performance crm produits service développés tilak qualité base données clientsaffichage données issue crm outil datavisualisation destination équipes siège assurerez maintien jour base données crm optimiserez outil crm afin permettre équipes business tirer meilleur profit ferez évoluer outils crm fur mesure besoins mi jours suivi performance conception modèles analyse performance régionaux analysis performance activité terrain identification opportunités reporting réguliers reste équipe place outils permettant suivre atteinte objectifs financier participerez définition objectifs équipes travaillerez étroite collaboration équipes terrain afin aider optimiser leurs performance définirez mettrez place outils nécessaires bon suivi performance partagerez équipes business information nécessaires développement stratégies commerciales,welcome_to_the_jungle
"Luxe, Beauté & Retail - L'exploitation de la data sur le marché du luxe, de la beauté et du retail",Stage(6 mois),,Wavestone,Puteaux,France métropolitaine,Hauts-de-Seine,48.8841522,2.2368863,language,skills,2023-12-19T16:16:49Z,"Dans un monde où savoir se transformer est la clé du succès, Wavestone s’est donné pour mission d’éclairer et guider les grandes organisations dans leurs transformations les plus critiques. Des transformations qui visent à répondre aux grands enjeux stratégiques auxquels elles vont faire face dans les années à venir : l’accélération de la révolution numérique, l’intensification de la concurrence, ou encore la prise en considération de l’urgence climatique. Le cabinet possède des compétences sectorielles centrées sur le cœur de métier de ses clients, des compétences technologiques parmi les plus pointues tant sur le digital, les systèmes d’information qu’en matière de cybersécurité, et des compétences en développement durable. Wavestone se distingue dans sa capacité à conjuguer étroitement toutes ces compétences, sans couture, au sein d’équipes pluridisciplinaires afin d’apporter une réponse à 360°, en phase avec les grands enjeux auxquels sont confrontés ses clients. Wavestone accompagne les acteurs historiques du luxe, de la beauté et du retail dans le design de leurs nouvelles offres luxe/beauté/retail grâce à des experts métiers, technologies et durabilité qui permettent d’adresser l’ensemble des problématiques de transformation afin de doter ces organisations d’outils et processus pour améliorer le time-to-market, d’approfondir la connaissance clients grâce à la donnée et de développer de nouvelles offres luxe pour conquérir des marchés et segments clients.Le cabinet réalise un chiffre d’affaires de l’ordre de 470 M€ et rassemble près de 4 000 collaborateurs en Europe – où il figure parmi les leaders indépendants du conseil – aux Etats-Unis et en Asie. Wavestone est coté sur Euronext à Paris et labellisé Great Place To Work.Pour plus d’informations, consulter www.wavestone.com L’exploitation de la data sur le marché du luxe, de la beauté et du retail présente divers enjeux cruciaux qui influencent la manière dont les entreprises évoluent, innovent et interagissent avec leurs clients. Voici quelques-uns des principaux enjeux associés à cette pratique :Compréhension client améliorée : les entreprises du luxe, de la beauté et du retail doivent utiliser la data pour comprendre en profondeur les préférences, les comportements d’achat et les tendances des clients.Stratégies de marketing et de communication : utiliser la data pour développer des stratégies de marketing ciblées et des campagnes de communication adaptées aux segments de clientèle spécifiques.Optimisation de l’expérience client en magasin : intégrer la data pour personnaliser l’expérience client en magasin, en utilisant des technologies comme la réalité augmentée ou des miroirs interactifs.Gestion des stocks et de la chaîne d’approvisionnement : utiliser des données prédictives pour optimiser la gestion des stocks et améliorer l’efficacité de la chaîne d’approvisionnement.Défis environnementaux et éthiques : gérer de manière éthique les données des clients, en accord avec les normes de confidentialité et de protection des données.Éco-Responsabilité : utiliser la data pour mesurer et améliorer l’impact environnemental des opérations, des produits et de la chaîne d’approvisionnement.Objectif du stage L’objectif du stage est de développer des connaissances sur l’exploitation de la data sur le marché du luxe, de la beauté et du du retail, afin d’alimenter les convictions du cabinet et d’étoffer la proposition de valeur. Parmi les sujets sur lesquels Wavestone est sollicité, le.a stagiaire pourra être amené.e à travailler sur l’un des thèmes suivants :La connaissance de l’écosystème IT pour les marchés du luxe, beauté et retailL’utilisation des CRM sur les marchés du luxe, beauté et retailL’utilisation des ERP sur les marchés du luxe, beauté et retailLa gouvernance de la donnée pour les marchés du luxe, beauté et retailLa qualité de la donnée (data quality) pour les marchés du luxe, beauté et retailLe Product Lifecycle Management (PLM)Le Product Experience Management (PXM)L’Order Management System (OMS)Travaux à réaliser Au sein de la communauté « Luxe, Beauté & Retail » et accompagné·e personnellement par un consultant expérimenté, vous pourrez être chargé·e de :  Formaliser des convictions sur l’exploitation de la data dans les secteurs du luxe, beauté et retailEvaluer les modèles économiques et la maturité de l’exploitation de la data sur ces marchésPartager une vision opérationnelle de l’exploitation de la data : retours d’expériences, réalisation d’enquêtes et ateliersCartographier des acteurs positionnés sur l’exploitation de la dataParticiper à l’édification de l’offre « Luxe, Beauté & Retail » de Wavestone et formaliser les convictions du cabinetParticiper au rayonnement interne et externe de l’expertise Wavestone par la rédaction d’articles et la communication sur les réseaux sociaux professionnels.",monde où savoir transformer clé succès wavestone donné mission éclairer guider grandes organisation leurs transformation plus critique transformation visent répondre grand enjeux stratégiques auxquels elles vont faire face années venir accélération révolution numérique intensification concurrence encore prise considération urgence climatique cabinet possède compétences sectorielles centrées cœur métier client compétences technologiques parmi plus pointues tant digital systèmes information matière cybersécurité compétences développement durable wavestone distingue capacité conjuguer étroitement toutes compétences sans couture sein équipes pluridisciplinaires afin apporter réponse phase grand enjeux auxquels confrontés client wavestone accompagne acteurs historiques luxe beauté retail design leurs nouvelles offres grâce expert métiers technology durabilité permettent adresser ensemble problématiques transformation afin doter organisation outils processus améliorer approfondir connaissance client grâce donnée développer nouvelles offres luxe conquérir marchés segment cabinet réalise chiffre affaire ordre rassemble près collaborateurs europe où figure parmi leader indépendants conseil asie wavestone coté euronext paris labellisé great place to plus information consulter exploitation data marché luxe beauté retail présente diver enjeux cruciaux influencent manière dont entreprises évoluent innovent interagissent leurs client voici principaux enjeux associés cette pratique compréhension client améliorée entreprises luxe beauté retail doivent utiliser data comprendre profondeur préférences comportements achat tendances marketing communication utiliser data développer stratégies marketing ciblées campagnes communication adaptées segment clientèle expérience client magasin intégrer data personnaliser expérience client magasin utilisant technology comme réalité augmentée miroirs stock chaîne approvisionnement utiliser données prédictives optimiser gestion stock améliorer efficacité chaîne environnementaux éthiques gérer manière éthique données client accord normes confidentialité protection utiliser data mesurer améliorer impact environnemental opérations produits chaîne stage objectif stage développer connaissances exploitation data marché luxe beauté retail afin alimenter conviction cabinet étoffer proposition valeur parmi sujets lesquels wavestone sollicité stagiaire pourra être travailler thèmes suivants connaissance écosystème it marchés luxe beauté retaill utilisation crm marchés luxe beauté retaill utilisation erp marchés luxe beauté retailla gouvernance donnée marchés luxe beauté retailla qualité donnée data quality marchés luxe beauté retaille product lifecycle management plm product experience management pxm order management system oms travaux réaliser sein communauté luxe beauté retail personnellement consultant expérimenté pourrez être formaliser conviction exploitation data secteurs luxe beauté retailevaluer modèles économiques maturité exploitation data marchéspartager vision opérationnelle exploitation data retours expériences réalisation enquêtes atelierscartographier acteurs positionnés exploitation dataparticiper édification offre luxe beauté retail wavestone formaliser conviction cabinetparticiper rayonnement interne externe expertise wavestone rédaction article communication réseaux sociaux professionnels,welcome_to_the_jungle
 Consultant(e) Data spécialisé(e) SSIS F/H ,CDI,,CGI,Nantes,France métropolitaine,Loire-Atlantique,47.2186371,-1.5541362,language,skills,2023-12-26T00:26:23Z," Au sein de nos équipes, vos missions principales sont les suivantes :  - Analyser des demandes métiers et l’impact sur le système d’information décisionnel- Rédiger les spécifications technico-fonctionnelles- Rédiger le plan de test et préparer les jeux de données avec résultats attendus- Contribuer à l’estimation de la charge de mise en œuvre et des jalons - Organiser, gérer et contrôler la bonne exécution des tâches des consultants moins expérimentés et les aider à monter en compétence, sous la responsabilité du chef de projet- S'approprier les besoins du client pour les retranscrire de la manière la plus pertinente possible, proposer des solutions et des alternatives avec les avantages et les inconvénients- Mettre en œuvre les moyens nécessaires pour adresser les problématiques clientEn rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,…).  ",sein équipes mission principales suivantes analyser demandes métiers impact système information rédiger spécifications rédiger plan test préparer jeux données résultats contribuer estimation charge mise œuvre jalons organiser gérer contrôler bonne exécution tâches consultant moins expérimentés aider monter compétence sou responsabilité chef besoins client retranscrire manière plus pertinente possible proposer solution alternative avantages mettre œuvre moyens nécessaires adresser problématiques clienten rejoignant cgi bénéficiez notamment offre complète formation technique métiers développement personnel flexibilité grâce accord télétravail jusqu jours télétravail semaine politique congés avantageuse jours congés payés rtt congés ancienneté enfant malade package avantages intéressant régime achats action participation cse,welcome_to_the_jungle
Delivery manager Data Factory,CDI,,Galileo Global Education,Paris,France métropolitaine,,48.8534951,2.3483915,language,skills,2023-12-14T15:30:30Z,"Our mission is to be the world education leader in innovation, creativity, arts and culture - one of the most promising higher education segments over the short and long term, everywhere in the world.Our key goal is to ensure the hiring potential of our students. We achieve this through the learning platforms, the unique learning environments and the industry contacts and expertise we have developed that allow our students to project the uniqueness of European culture and business management globally.Galileo Global Education Group, as a global education leader, consists of numerous privately owned schools, education facilities, business units, miscellaneous branches and departments in multiple countries, such as France, Germany, Italy, UK, Norway, Cyprus, Senegal and Mexico and beyond.Galileo Global Education HUB (Hungarian Bureau) is a daughter company of the GGE Group and offers a diverse package of dedicated IT services to support our ''internal"" clients: Schools, Business units and Support functions, in both their Digital Transformation and daily IT operations by spearheading, supporting and managing their efforts through IT project managers, technical professionals and full stack experts.Galileo Global Education is carrying out its Data Management Strategy through a Microsoft Azure Cloud Solution called Data Factory. The Platform is aimed at hosting Group and Institutions Data Products with a governance distributed on 3 branches. Data Factory is currently supporting Product Owner's Roadmap on Sales & Marketing, Student Experience and Finance Pilars with delivery activities than span the full Data journey, from Extraction to End user exposure. This activity is handled by a shared service of ressources.The mission of the Delivery manager will consist in instilling the proper governance on the delivery efforts, aligning requirements with Capacities and Budgets.Your perimeter : Group Data ProductsAd hoc requests & Run operationsAll PilarsYour missions :Always driven by the Business valueProduct owners support in their Roadmap definitionProduct Increment impact assessmentDelivery Priorisation and ProgrammingDelivery ManagementMonitoring of Activities & Budget Reporting",mission world education leader innovation creativity art culture one promising higher education segment short long term everywhere key goal ensure hiring potential student achieve learning platform unique learning environment industry contact expertise developed allow student project uniqueness european culture business management global education group global education leader consists numerous privately owned school education facility business unit miscellaneous branch department multiple country france germany italy uk norway cyprus senegal mexico global education hub hungarian bureau daughter company gge group offer diverse package dedicated service support internal client school business unit support function digital transformation daily operation spearheading supporting managing effort project manager technical professional full stack global education carrying data management strategy microsoft azure cloud solution called data factory platform aimed hosting group institution data product governance distributed branch data factory currently supporting product owner roadmap sale marketing student experience finance pilars delivery activity span full data journey extraction end user exposure activity handled shared service mission delivery manager consist instilling proper governance delivery effort aligning requirement capacity perimeter group data productsad hoc request run operationsall pilarsyour mission always driven business valueproduct owner support roadmap definitionproduct increment impact assessmentdelivery priorisation programmingdelivery managementmonitoring activity budget reporting,welcome_to_the_jungle
Data Engineer / GCP (H/F),CDI,,Micropole,Levallois-Perret,France métropolitaine,Hauts-de-Seine,48.892956,2.2881683,language,skills,2023-12-25T23:35:35Z,"En résumé :Poste : Data Engineer / GCPLocalité : Levallois-PerretType de contrat : CDINiveau d’expérience : au moins 3 ansVous êtes passionné(e)s par la data ? Vous êtes convaincus que l’optimisation du patrimoine data des entreprises est la clé de leur performance ? Vous voulez rendre les entreprises data intelligentes et les aider à se transformer pour préparer dès à présent leur futur ? Vous êtes au fait des dernières tendances et prêt à explorer de nouveaux territoires ?Vous souhaitez rejoindre un groupe pionnier des grandes innovations data et digitale ?Si vous avez répondu « Oui » à chacune de ces questions alors devenez Data Engineer pour nos clients grands-comptes dans les secteurs du luxe/retail, banque/assurance et industrie/ services.Alors, prêt à rejoindre l’aventure Micropole ? N’attendez plus !Au sein de notre agence basée à levallois-Perret, vous rejoindrez nos experts Cloud. En tant que Data Engineer GCP (F/H) , vous accompagnerez les directions métiers dans l'évaluation de l'efficacité de leur processus et dans leur stratégie pour optimiser leur performance. Dans vos missions quotidiennes, vous serez amené(e) à : Développer et maintenir des cas d’usages clients avec les outils et les infrastructures Big Data / Cloud GCP. Modéliser et analyser des données dans le Cloud. Garantir la sécurité / compliance des données ; Apporter votre réflexion sur des problématiques métiers à travers l’exploitation et la compréhension des données. Identifier les sources de données les plus pertinentes et restituer des résultats de façon concise et visuelle ; Réaliser une veille technologique pour être à la pointe sur les solutions cloud & Data ; Participer au développement de notre centre d’excellence GCP. ",résumé poste data engineer gcplocalité contrat cdiniveau expérience moins ansvous passionné e data convaincus optimisation patrimoine data entreprises clé performance voulez rendre entreprises data intelligentes aider transformer préparer dès présent futur fait dernières tendances prêt explorer nouveaux territoires souhaitez rejoindre groupe pionnier grandes innovation data digitale si répondu oui chacune question alors devenez data engineer client secteurs prêt rejoindre aventure micropole attendez plus sein agence basée rejoindrez expert cloud tant data engineer gcp accompagnerez direction métiers processus stratégie optimiser performance mission quotidiennes amené e développer maintenir ca usage client outils infrastructure big data cloud gcp modéliser analyser données cloud garantir sécurité compliance données apporter réflexion problématiques métiers travers exploitation compréhension données identifier source données plus pertinentes restituer résultats façon concise visuelle réaliser veille technologique être pointe solution cloud data participer développement centre excellence gcp,welcome_to_the_jungle
[SFR] Administrateur Système Infrastructure Data-Science H/F,CDD / Temporaire,,Altice France SFR RMC BFM,Paris,France métropolitaine,,48.8534951,2.3483915,language,skills,2023-12-25T23:38:58Z,"Intitulé du posteAu sein de la direction B2C Grand Public de SFR, vous intégrez la direction SFR Analytics qui a pour objectif de fédérer les compétences et développer les activités de SFR dans le domaine du Big Data, de l'IA et de l'analyse des données de ses clients.Lors de votre mission, vous interviendrez auprès des pôles d'expertises de Data-Science et de Gouvernance de la donnée, en interaction avec les équipes SI, pour effectuer du support et du développement sur une infrastructure virtualisée orientée Data-Science. Vous en assurerez la maintenance, les évolutions et le support aux utilisateurs.Vous aurez pour objectifs de mener à bien les fonctions suivantes : Gestion de l'infrastructure :Appréhender la virtualisation avec QEMU-KVM (Red Hat) et Hyper-V (Microsoft)Comprendre les architectures de Conception, Validation et ProductionGérer les allocations de ressources des machines virtuellesGérer les espaces disques disponibles sur les machines physiquesSolliciter les utilisateurs en cas d'incidents liés à leur usage ; leur expliciter les bonnes pratiques et vérifier la bonne applicationStabiliser l'infrastructure Google Cloud Platform (GCP) pour un usage quotidienS'assurer que les modules GCP sont utilisables par les utilisateurs :GCS (stockage), GCE (compute engine), conteneurs/ kubernetes, vertexAI, GKE ...S'assurer que les interconnexions entre les services GCP sont efficacesTraitement d'incidents :Surveiller les alarmes Zabbix et les résoudreImplémenter les alarmes supervisions manquantes ou nécessaires suite aux évolutionsMénager les interventions techniques en fonction des urgences techniques, de la gêne pour les utilisateurs et des besoins utilisateursInformer les utilisateurs des opérations à venir et de leur avancementAlimenter les documentations « best practices » administrativesTransformer certaines résolutions manuelles d'incident en résolution automatiqueTracer les incidents rencontrés et leur résolution ; monter les escalades managérialesGestion des évolutions et du support quotidien aux utilisateurs :Suivre les demandes et évolutions sur Phabricator ou son successeurOuvrir dans GCP un outillage remplaçant de la gestion de demandes Phabricator (ITIL)Ouvrir dans GCP un outillage remplaçant de la gestion de documentation Phabricator (ITIL)Assurer le support quotidien aux utilisateurs, répondre aux questions techniques sur l'infraProposer et mettre en œuvre une solution de gestion des fichiers de configuration centralisée ; Si On-Premise : Ansible ; Si GCP : Teraform ou recommandationCréer, adapter et mettre à jour les documentations existantesOptimiser les ressources GCP pour les performances et un coût maîtriséPrésenter aux utilisateurs leurs coûts GCP (FINOPS)Gestion des droits utilisateurs :Gérer les comptes et droits utilisateurs sous FreeIPA, GITEA et PhabricatorMener les recettes de droits utilisateurs suite aux évolutionsS'assurer que les droits GCP théoriques et effectifs correspondent aux besoins de chaque utilisateurProfilDe formation Bac +4/+5 dans un cursus Informatique, vous avez acquis 3 ans minimum d'expérience sur des périmètres techniques similaires.Vous êtes curieux, avez d'excellentes aptitudes d'analyse, de synthèse et un bon relationnel.Vous possédez des connaissances dans les domaines suivants : Google Cloud Platform (GCP)Systèmes d'exploitation et leur administration : Windows Server et Linux Red Hat ou « Red Hat like » (Fedora)Réseau : switching, adressage IP, sous-réseaux, routage IPv4, port forwarding, firewall, VPN, ODBC, DNS, autoFS, SSHLogiciels : proxy NGINX, serveur web Apache, proxy SQUID, GIT, Airflow, proxySQL, SyncThingProgrammation : Shell linux, Python, PHPBases de données : MySQL (mariaDB) avec redondance Galera",intitulé posteau sein direction grand public sfr intégrez direction sfr analytics a objectif fédérer compétences développer activités sfr domaine big data données mission interviendrez auprès pôles gouvernance donnée interaction équipes si effectuer support développement infrastructure virtualisée orientée assurerez maintenance évolutions support objectifs mener bien fonctions suivantes gestion appréhender virtualisation red hat microsoft comprendre architecture conception validation productiongérer allocation ressources machine virtuellesgérer espaces disques disponibles machine physiquessolliciter utilisateurs ca liés usage expliciter bonnes pratiques vérifier bonne applicationstabiliser google cloud platform gcp usage module gcp utilisables utilisateurs gc stockage gce compute engine kubernetes vertexai gke interconnexions entre service gcp efficacestraitement surveiller alarmes zabbix résoudreimplémenter alarmes supervision manquantes nécessaires suite évolutionsménager intervention technique fonction urgences technique gêne utilisateurs besoins utilisateursinformer utilisateurs opérations venir avancementalimenter documentation best practice administrativestransformer certaines résolutions manuelles résolution automatiquetracer incident rencontrés résolution monter escalade managérialesgestion évolutions support quotidien utilisateurs suivre demandes évolutions phabricator successeurouvrir gcp outillage remplaçant gestion demandes phabricator itil ouvrir gcp outillage remplaçant gestion documentation phabricator itil assurer support quotidien utilisateurs répondre question technique mettre œuvre solution gestion fichiers configuration centralisée si ansible si gcp teraform recommandationcréer adapter mettre jour documentation existantesoptimiser ressources gcp performance coût maîtriséprésenter utilisateurs leurs coûts gcp finops gestion droits utilisateurs gérer comptes droits utilisateurs sou freeipa gitea phabricatormener recettes droits utilisateurs suite droits gcp théoriques effectifs correspondent besoins chaque utilisateurprofilde formation bac cursus informatique acquis an minimum périmètres technique curieux aptitude synthèse bon possédez connaissances domaines suivants google cloud platform gcp systèmes administration window server linux red hat red hat like fedora réseau switching adressage ip routage port forwarding firewall vpn odbc dns autofs sshlogiciels proxy nginx serveur web apache proxy squid git airflow proxysql syncthingprogrammation shell linux python phpbases données mysql mariadb redondance galera,welcome_to_the_jungle
Data Analyste Financier H/F,CDI,,Veolia,Aubervilliers,France métropolitaine,Seine-Saint-Denis,48.9146078,2.3821895,language,skills,2023-12-26T00:21:06Z,"À ce titre, vous assurerez les missions suivantes: 1. Analyse et data visualisation des données Participer aux ateliers d'expression des besoins internes, comprendre les problématiques métiers et les traduire de manière analytique en tableaux de bord, en indicateursDéfinir, construire, optimiser et automatiser des tableaux de bord de reporting, des indicateurs de suivi et donner à l’équipe Finance les moyens de surveiller les performances de l’entreprise et de fournir une aide à la décision pour le Top ManagementConstruire des analyses ad-hoc et transversales sur une diversité de sujets (BFR, IFRS, marge brute, pricing, etc), et sur les périmètres élargis (de la Consolidation jusqu’au CSP ou service opérationnel)Contrôler et analyser la structure des données, le modèle de gestion : proposition d'axes d'amélioration par des approches analytiques.2. Maître(sse) des données financières Être interlocuteur privilégié de la Finance auprès des clients internesÊtre garant de la qualité des données financières et du processus opérationnel afin de partager les bonnes pratiques d’exploitation des données, et d’actions correctivesParticiper à la cartographie des données et de leur gestion pour suggérer les axes d’optimisation3. Référent(e) de la Finance Participer sur les différents projets de développement de l'entrepriseAccompagner l’équipe Finance dans la transition et la mise en place des nouveaux outils informatiques Informations supplémentairesLes raisons de nous rejoindre Vous souhaitez, comme nous, préserver l'environnement! Vous souhaitez intégrer un grand groupe expert dans la gestion de l'énergie et de l'industrie et fortement impliqué dans la vie locale.Dans le cadre du processus de recrutement, vous serez contacté(e) puis rencontrerez les équipes RH et opérationnelles de VSEI. En tant qu'entreprise inclusive, Veolia s’engage pour la diversité et accorde la même considération à toutes les candidatures, sans discrimination. ",titre assurerez mission suivantes analyse data visualisation données participer atelier besoins interne comprendre problématiques métiers traduire manière analytique tableau bord indicateursdéfinir construire optimiser automatiser tableau bord reporting indicateurs suivi donner équipe finance moyens surveiller performance entreprise fournir aide décision top managementconstruire analysis transversales diversité sujets bfr ifrs marge brute pricing etc périmètres élargis consolidation jusqu csp service opérationnel contrôler analyser structure données modèle gestion proposition approches maître sse données financières être interlocuteur privilégié finance auprès client internesêtre garant qualité données financières processus opérationnel afin partager bonnes pratiques exploitation données action correctivesparticiper cartographie données gestion suggérer ax référent e finance participer différents projets développement équipe finance transition mise place nouveaux outils informatiques information supplémentairesles raisons rejoindre souhaitez comme préserver souhaitez intégrer grand groupe expert gestion fortement impliqué vie cadre processus recrutement contacté e puis rencontrerez équipes rh opérationnelles vsei tant inclusive veolia engage diversité accorde considération toutes candidature sans discrimination,welcome_to_the_jungle
